,name,wikipedia_name,lat,lon,page,geovirus_key,toponym,old_coord,new_coord,mlg_key,geocoded_coordinates_list,median_error_distance
170,West Midlands,West Midlands (region),52.47,-2.29,https://en.wikipedia.org/wiki/West_Midlands_(region),"West Midlands (region) 52.47,-2.29",West Midlands (region) ," 52.47 , -2.29 "," 52.47 , -2.29","West Midlands (region) 52.47,-2.29","[(52.5, -1.96667)]",22.146740489312435
171,Gaza Strip,Gaza Strip,31.41,34.33,https://en.wikipedia.org/wiki/Gaza_Strip,"Gaza Strip 31.41,34.33",Gaza Strip ," 31.41 , 34.33 "," 31.416666666667 , 34.333333333333","Gaza Strip 31.41,34.33","[(31.41667, 34.33333)]",0.00048727330483907535
172,Gaza,Gaza Strip,31.41,34.33,https://en.wikipedia.org/wiki/Gaza_Strip,"Gaza Strip 31.41,34.33",Gaza Strip ," 31.41 , 34.33 "," 31.416666666667 , 34.333333333333","Gaza Strip 31.41,34.33","[(31.51065, 34.46411), (31.51065, 34.46411), (31.51065, 34.46411)]",16.21923704941674
173,Israel,Israel,31,35,https://en.wikipedia.org/wiki/Israel,"Israel 31,35",Israel ," 31 , 35 "," 31.0 , 35.0","Israel 31,35","[(31.5, 34.75), (31.5, 34.75), (39.31815, -79.8109)]",60.46385557602009
174,West Bank,West Bank,32,35.38,https://en.wikipedia.org/wiki/West_Bank,"West Bank 32,35.38",West Bank ," 32 , 35.38 "," 31.66667 , 35.25","West Bank 32,35.38",[],
175,Kenya,Kenya,1,38,https://en.wikipedia.org/wiki/Kenya,"Kenya 1,38",Kenya ," 1 , 38 "," 0.1 , 38.0","Kenya 1,38","[(1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0), (1.0, 38.0)]",100.07557535177229
176,Nyanza,Nyanza Province,-0.5,34.66,https://en.wikipedia.org/wiki/Nyanza_Province,"Nyanza Province -0.5,34.66",Nyanza Province ," -0.5 , 34.66 "," -0.5 , 34.666666666667","Nyanza Province -0.5,34.66","[(-0.5, 34.5)]",18.531808292227048
177,Nyanza Province,Nyanza Province,-0.5,34.66,https://en.wikipedia.org/wiki/Nyanza_Province,"Nyanza Province -0.5,34.66",Nyanza Province ," -0.5 , 34.66 "," -0.5 , 34.666666666667","Nyanza Province -0.5,34.66","[(-0.5, 34.5), (-0.5, 34.5)]",18.531808292227048
178,Kisumu,Kisumu,-0.1,34.75,https://en.wikipedia.org/wiki/Kisumu,"Kisumu -0.1,34.75",Kisumu ," -0.1 , 34.75 "," -0.1 , 34.75","Kisumu -0.1,34.75","[(-0.069, 34.64), (-0.069, 34.64)]",12.707887411682336
179,Nairobi,Nairobi,-1.2,36.81,https://en.wikipedia.org/wiki/Nairobi,"Nairobi -1.2,36.81",Nairobi ," -1.2 , 36.81 "," -1.2863888888889 , 36.817222222222","Nairobi -1.2,36.81","[(-1.28333, 36.83333)]",1.8226731336833915
181,Norway,Norway,61,8,https://en.wikipedia.org/wiki/Norway,"Norway 61,8",Norway ," 61 , 8 "," 65.0 , 11.0","Norway 61,8","[(62.0, 10.0), (62.0, 10.0), (62.0, 10.0), (32.90402, -90.39815)]",337.2437801258692
182,North Carolina,North Carolina,35.5,-80,https://en.wikipedia.org/wiki/North_Carolina,"North Carolina 35.5,-80",North Carolina ," 35.5 , -80 "," 35.5 , -80.0","North Carolina 35.5,-80","[(35.50069, -80.00032), (35.50069, -80.00032), (35.50069, -80.00032)]",0.0820110674117891
183,Japan,Japan,35,136,https://en.wikipedia.org/wiki/Japan,"Japan 35,136",Japan ," 35 , 136 "," 35.0 , 136.0","Japan 35,136","[(35.68536, 139.75309), (35.68536, 139.75309), (35.68536, 139.75309), (35.68536, 139.75309), (35.68536, 139.75309), (35.68536, 139.75309), (35.68536, 139.75309)]",348.816295699462
184,Brazil,Brazil,-10,-52,https://en.wikipedia.org/wiki/Brazil,"Brazil -10,-52",Brazil ," -10 , -52 "," -14.0 , -53.0","Brazil -10,-52","[(-10.0, -55.0), (-10.0, -55.0), (-10.0, -55.0), (-10.0, -55.0), (-10.0, -55.0), (-10.0, -55.0), (-10.0, -55.0)]",495.1030095471863
185,Mecca,Mecca,21.41,39.81,https://en.wikipedia.org/wiki/Mecca,"Mecca 21.41,39.81",Mecca ," 21.41 , 39.81 "," 21.4225 , 39.826111111111","Mecca 21.41,39.81","[(21.62425, 41.20422), (21.62425, 41.20422), (21.62425, 41.20422)]",144.30710042933129
186,Morocco,Morocco,32,-6,https://en.wikipedia.org/wiki/Morocco,"Morocco 32,-6",Morocco ," 32 , -6 "," 32.0 , -6.0","Morocco 32,-6","[(32.0, -6.0)]",0.0
187,Medina,Medina,24.46,39.6,https://en.wikipedia.org/wiki/Medina,"Medina 24.46,39.6",Medina ," 24.46 , 39.6 "," 24.466666666667 , 39.6","Medina 24.46,39.6","[(24.9, 39.5)]",49.232405606892385
188,Middle East,Middle East,29,41,https://en.wikipedia.org/wiki/Middle_East,"Middle East 29,41",Middle East ," 29 , 41 "," 28.0 , 45.0","Middle East 29,41","[(33.13906, 35.85869), (33.13906, 35.85869)]",1044.5240693885346
189,Saudi Arabia,Saudi Arabia,24,45,https://en.wikipedia.org/wiki/Saudi_Arabia,"Saudi Arabia 24,45",Saudi Arabia ," 24 , 45 "," 23.716667 , 44.116667","Saudi Arabia 24,45","[(25.0, 45.0)]",168.431856395096
190,Iran,Iran,32,53,https://en.wikipedia.org/wiki/Iran,"Iran 32,53",Iran ," 32 , 53 "," 32.0 , 53.0","Iran 32,53","[(32.0, 53.0), (32.0, 53.0), (32.0, 53.0), (32.0, 53.0)]",0.0
191,Buckinghamshire,Buckinghamshire,51.83,-0.83,https://en.wikipedia.org/wiki/Buckinghamshire,"Buckinghamshire 51.83,-0.83",Buckinghamshire ," 51.83 , -0.83 "," 51.766666666667 , -0.8","Buckinghamshire 51.83,-0.83","[(51.75, -0.75)]",3.908657366280999
192,Milton Keynes,Milton Keynes,52.04,-0.76,https://en.wikipedia.org/wiki/Milton_Keynes,"Milton Keynes 52.04,-0.76",Milton Keynes ," 52.04 , -0.76 "," 52.033333333333 , -0.76666666666667","Milton Keynes 52.04,-0.76",[],
193,Philippines,Philippines,13,122,https://en.wikipedia.org/wiki/Philippines,"Philippines 13,122",Philippines ," 13 , 122 "," 12.0 , 123.0","Philippines 13,122","[(13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0), (13.0, 122.0)]",155.39985359230644
194,Fiji,Fiji,-18,179,https://en.wikipedia.org/wiki/Fiji,"Fiji -18,179",Fiji ," -18 , 179 "," -18.0 , 178.0","Fiji -18,179","[(-18.0, 178.0), (-18.0, 178.0)]",0.0
195,Suva,Suva,-18.14,178.44,https://en.wikipedia.org/wiki/Suva,"Suva -18.14,178.44",Suva ," -18.14 , 178.44 "," -18.133333333333 , 178.43333333333","Suva -18.14,178.44","[(-18.14161, 178.44149), (-18.14161, 178.44149)]",1.260910667361667
196,Nadi,Nadi,-17.8,177.41,https://en.wikipedia.org/wiki/Nadi,"Nadi -17.8,177.41",Nadi ," -17.8 , 177.41 "," -17.8 , 177.41666666667","Nadi -17.8,177.41","[(-17.80309, 177.41617)]",0.34759309210017525
197,Paisley,"Paisley, Renfrewshire",55.84,-4.42,"https://en.wikipedia.org/wiki/Paisley,_Renfrewshire","Paisley, Renfrewshire 55.84,-4.42","Paisley, Renfrewshire "," 55.84 , -4.42 "," 55.85 , -4.4333333333333","Paisley, Renfrewshire 55.84,-4.42","[(55.83173, -4.43254), (55.83173, -4.43254), (55.83173, -4.43254)]",2.0321379240281288
198,Argentina,Argentina,-34,-64,https://en.wikipedia.org/wiki/Argentina,"Argentina -34,-64",Argentina ," -34 , -64 "," -34.0 , -64.0","Argentina -34,-64","[(-34.0, -64.0), (-34.0, -64.0), (-34.0, -64.0), (-34.0, -64.0), (-34.0, -64.0)]",0.0
199,Buenos Aires,Buenos Aires,-34.60,-58.38,https://en.wikipedia.org/wiki/Buenos_Aires,"Buenos Aires -34.60,-58.38",Buenos Aires ," -34.60 , -58.38 "," -34.599722222222 , -58.381944444444","Buenos Aires -34.60,-58.38","[(-36.0, -60.0)]",214.01503273685017
200,Chile,Chile,-30,-71,https://en.wikipedia.org/wiki/Chile,"Chile -30,-71",Chile ," -30 , -71 "," -33.0 , -71.0","Chile -30,-71","[(-30.0, -71.0), (-30.0, -71.0), (-30.0, -71.0)]",333.5852511725747
201,South America,South America,-14.60,-57.65,https://en.wikipedia.org/wiki/South_America,"South America -14.60,-57.65",South America ," -14.60 , -57.65 "," -21.0 , -59.0","South America -14.60,-57.65","[(-14.60485, -57.65625), (-14.60485, -57.65625), (-14.60485, -57.65625)]",725.1811529261913
202,Nairobi,Nairobi,-1.28,36.81,https://en.wikipedia.org/wiki/Nairobi,"Nairobi -1.28,36.81",Nairobi ," -1.28 , 36.81 "," -1.2863888888889 , 36.817222222222","Nairobi -1.28,36.81","[(-1.28333, 36.83333), (-1.28333, 36.83333), (-1.28333, 36.83333), (-1.28333, 36.83333), (-1.28333, 36.83333), (-1.28333, 36.83333), (-1.28333, 36.83333)]",1.8226731336833915
203,East Africa,East Africa,-0.52,36.51,https://en.wikipedia.org/wiki/East_Africa,"East Africa -0.52,36.51",East Africa ," -0.52 , 36.51 "," -1.300444 , 36.84726","East Africa -0.52,36.51","[(None, None)]",
204,Nottingham,Nottingham,52.95,-1.13,https://en.wikipedia.org/wiki/Nottingham,"Nottingham 52.95,-1.13",Nottingham ," 52.95 , -1.13 "," 52.955 , -1.1491666666667","Nottingham 52.95,-1.13","[(52.9536, -1.15047)]",0.17848567338476398
205,Garissa,Garissa,-0.45,39.65,https://en.wikipedia.org/wiki/Garissa,"Garissa -0.45,39.65",Garissa ," -0.45 , 39.65 "," -0.45694444444444 , 39.658333333333","Garissa -0.45,39.65","[(-0.172, 40.041)]",53.050940349297896
206,Zimbabwe,Zimbabwe,-20,30,https://en.wikipedia.org/wiki/Zimbabwe,"Zimbabwe -20,30",Zimbabwe ," -20 , 30 "," -19.0 , 30.0","Zimbabwe -20,30","[(-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75), (-19.0, 29.75)]",26.28425208407744
207,Angola,Angola,-12.5,18.5,https://en.wikipedia.org/wiki/Angola,"Angola -12.5,18.5",Angola ," -12.5 , 18.5 "," -12.35 , 17.35","Angola -12.5,18.5","[(-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5), (-12.5, 18.5)]",125.98814189692858
208,Chad,Chad,15,19,https://en.wikipedia.org/wiki/Chad,"Chad 15,19",Chad ," 15 , 19 "," 15.466667 , 19.4","Chad 15,19","[(15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0), (15.0, 19.0)]",67.33787198067105
209,Democratic Republic of the Congo,Democratic Republic of the Congo,-2.88,23.65,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -2.88,23.65",Democratic Republic of the Congo ," -2.88 , 23.65 "," -2.88 , 23.656","Democratic Republic of the Congo -2.88,23.65","[(-2.5, 23.5), (-2.5, 23.5), (-2.5, 23.5), (-2.5, 23.5)]",45.66887912648824
210,DR Congo,Democratic Republic of the Congo,-2.88,23.65,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -2.88,23.65",Democratic Republic of the Congo ," -2.88 , 23.65 "," -2.88 , 23.656","Democratic Republic of the Congo -2.88,23.65",[],
211,Congo,Democratic Republic of the Congo,-2.88,23.65,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -2.88,23.65",Democratic Republic of the Congo ," -2.88 , 23.65 "," -2.88 , 23.656","Democratic Republic of the Congo -2.88,23.65","[(-2.5, 23.5)]",45.66887912648824
212,Democratic Republic of Congo,Democratic Republic of the Congo,-2.88,23.65,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -2.88,23.65",Democratic Republic of the Congo ," -2.88 , 23.65 "," -2.88 , 23.656","Democratic Republic of the Congo -2.88,23.65","[(-2.5, 23.5), (-2.5, 23.5), (-2.5, 23.5), (-2.5, 23.5)]",45.66887912648824
213,DRC,Democratic Republic of the Congo,-2.88,23.65,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,"Democratic Republic of the Congo -2.88,23.65",Democratic Republic of the Congo ," -2.88 , 23.65 "," -2.88 , 23.656","Democratic Republic of the Congo -2.88,23.65","[(-17.98333, 20.78333), (-17.98333, 20.78333), (-17.98333, 20.78333), (-17.98333, 20.78333), (-17.98333, 20.78333), (-17.98333, 20.78333)]",1708.3604433154171
214,Eritrea,Eritrea,15,39,https://en.wikipedia.org/wiki/Eritrea,"Eritrea 15,39",Eritrea ," 15 , 39 "," 15.483333 , 38.25","Eritrea 15,39","[(15.0, 39.0)]",96.76088530639957
215,Ethiopia,Ethiopia,8,38,https://en.wikipedia.org/wiki/Ethiopia,"Ethiopia 8,38",Ethiopia ," 8 , 38 "," 9.0 , 40.0","Ethiopia 8,38","[(9.0, 39.5)]",54.91303959884467
216,Niger,Niger,16,8,https://en.wikipedia.org/wiki/Niger,"Niger 16,8",Niger ," 16 , 8 "," 17.0 , 10.0","Niger 16,8",[],
217,Afghanistan,Afghanistan,33,65,https://en.wikipedia.org/wiki/Afghanistan,"Afghanistan 33,65",Afghanistan ," 33 , 65 "," 34.0 , 66.0","Afghanistan 33,65","[(33.0, 66.0), (33.0, 66.0), (33.0, 66.0)]",111.19508372419182
218,Pakistan,Pakistan,30,70,https://en.wikipedia.org/wiki/Pakistan,"Pakistan 30,70",Pakistan ," 30 , 70 "," 30.0 , 71.0","Pakistan 30,70","[(30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0), (30.0, 70.0)]",96.29746171213266
219,Peru,Peru,-10,-76,https://en.wikipedia.org/wiki/Peru,"Peru -10,-76",Peru ," -10 , -76 "," -9.4 , -76.0","Peru -10,-76","[(31.2, 95.1), (31.2, 95.1), (31.2, 95.1), (31.2, 95.1), (-10.0, -75.25), (-10.0, -75.25), (41.54969, -109.58569)]",17422.32192952786
220,South Africa,South Africa,-30,25,https://en.wikipedia.org/wiki/South_Africa,"South Africa -30,25",South Africa ," -30 , 25 "," -29.0 , 24.0","South Africa -30,25","[(-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0), (-29.0, 24.0)]",0.0
221,KwaZulu-Natal,KwaZulu-Natal,-29,31,https://en.wikipedia.org/wiki/KwaZulu-Natal,"KwaZulu-Natal -29,31",KwaZulu-Natal ," -29 , 31 "," -29.0 , 31.0","KwaZulu-Natal -29,31","[(-29.0, 30.0), (-29.0, 30.0)]",97.25312142692214
222,Johannesburg,Johannesburg,-26.20,28.04,https://en.wikipedia.org/wiki/Johannesburg,"Johannesburg -26.20,28.04",Johannesburg ," -26.20 , 28.04 "," -26.204361111111 , 28.041638888889","Johannesburg -26.20,28.04","[(45.16524, -92.59409), (-26.20227, 28.04363), (-26.20227, 28.04363), (-26.20227, 28.04363), (-26.20227, 28.04363)]",0.30582272851258707
223,Mozambique,Mozambique,-18.25,35,https://en.wikipedia.org/wiki/Mozambique,"Mozambique -18.25,35",Mozambique ," -18.25 , 35 "," -19.0 , 35.0","Mozambique -18.25,35","[(-18.25, 35.0), (-18.25, 35.0), (-18.25, 35.0), (-18.25, 35.0)]",83.39631279314418
224,Botswana,Botswana,-24.65,25.90,https://en.wikipedia.org/wiki/Botswana,"Botswana -24.65,25.90",Botswana ," -24.65 , 25.90 "," -22.2 , 23.7","Botswana -24.65,25.90","[(-22.0, 24.0), (-22.0, 24.0)]",38.07694332590315
225,Dallas,Dallas,32.77,-96.79,https://en.wikipedia.org/wiki/Dallas,"Dallas 32.77,-96.79",Dallas ," 32.77 , -96.79 "," 32.779166666667 , -96.808888888889","Dallas 32.77,-96.79","[(32.76663, -96.77787), (32.76663, -96.77787), (32.76663, -96.77787), (32.76663, -96.77787), (32.76663, -96.77787)]",3.2177612563401894
226,Dallas County,"Dallas County, Texas",32.77,-96.78,"https://en.wikipedia.org/wiki/Dallas_County,_Texas","Dallas County, Texas 32.77,-96.78","Dallas County, Texas "," 32.77 , -96.78 "," 32.77 , -96.78","Dallas County, Texas 32.77,-96.78","[(32.76663, -96.77787), (32.76663, -96.77787), (32.76663, -96.77787)]",0.42436247094009855
227,Libya,Libya,27,17,https://en.wikipedia.org/wiki/Libya,"Libya 27,17",Libya ," 27 , 17 "," 27.0 , 17.0","Libya 27,17","[(28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0), (28.0, 17.0)]",111.19508372419182
228,Sofia,Sofia,42.7,23.33,https://en.wikipedia.org/wiki/Sofia,"Sofia 42.7,23.33",Sofia ," 42.7 , 23.33 "," 42.69751 , 23.32415","Sofia 42.7,23.33","[(42.66667, 23.8)]",39.04796833444124
229,Benghazi,Benghazi,32.11,20.06,https://en.wikipedia.org/wiki/Benghazi,"Benghazi 32.11,20.06",Benghazi ," 32.11 , 20.06 "," 32.116666666667 , 20.066666666667","Benghazi 32.11,20.06",[],
230,Qatar,Qatar,25.5,51.25,https://en.wikipedia.org/wiki/Qatar,"Qatar 25.5,51.25",Qatar ," 25.5 , 51.25 "," 25.269535 , 51.212767","Qatar 25.5,51.25","[(25.5, 51.25)]",25.898105402657205
231,Tripoli,Tripoli,32.88,13.19,https://en.wikipedia.org/wiki/Tripoli,"Tripoli 32.88,13.19",Tripoli ," 32.88 , 13.19 "," 32.87519 , 13.18746","Tripoli 32.88,13.19","[(32.87519, 13.18746)]",0.0
232,Paris,Paris,48.85,2.35,https://en.wikipedia.org/wiki/Paris,"Paris 48.85,2.35",Paris ," 48.85 , 2.35 "," 48.856577777778 , 2.3518277777778","Paris 48.85,2.35","[(48.8534, 2.3486), (48.8534, 2.3486)]",0.4250020468895641
233,Cameroon,Cameroon,6,12,https://en.wikipedia.org/wiki/Cameroon,"Cameroon 6,12",Cameroon ," 6 , 12 "," 7.0 , 12.0","Cameroon 6,12","[(6.0, 12.5), (6.0, 12.5), (6.0, 12.5), (6.0, 12.5)]",124.1601401565498
234,Athens,Athens,37.98,23.72,https://en.wikipedia.org/wiki/Athens,"Athens 37.98,23.72",Athens ," 37.98 , 23.72 "," 37.979444444444 , 23.716111111111","Athens 37.98,23.72","[(44.63341, -75.94936), (44.63341, -75.94936), (44.63341, -75.94936), (44.63341, -75.94936)]",7809.740896347047
235,Hollywood,Hollywood,34.1,-118.33,https://en.wikipedia.org/wiki/Hollywood,"Hollywood 34.1,-118.33",Hollywood ," 34.1 , -118.33 "," 34.1 , -118.33333333333","Hollywood 34.1,-118.33","[(34.09834, -118.32674), (34.09834, -118.32674)]",0.6345359549425605
236,Toronto,Toronto,43.7,-79.4,https://en.wikipedia.org/wiki/Toronto,"Toronto 43.7,-79.4",Toronto ," 43.7 , -79.4 "," 43.670277777778 , -79.386666666667","Toronto 43.7,-79.4","[(43.70011, -79.4163), (43.70011, -79.4163), (43.70011, -79.4163), (43.70011, -79.4163)]",4.08431629036319
237,Alberta,Alberta,55,-115,https://en.wikipedia.org/wiki/Alberta,"Alberta 55,-115",Alberta ," 55 , -115 "," 55.0 , -115.0","Alberta 55,-115","[(52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469), (52.28333, -117.469)]",343.084886254662
238,Washington,Washington (state),47.5,-120.5,https://en.wikipedia.org/wiki/Washington_(state),"Washington (state) 47.5,-120.5",Washington (state) ," 47.5 , -120.5 "," 47.5 , -120.5","Washington (state) 47.5,-120.5","[(47.50012, -120.50147), (30.32521, -96.15663), (47.50012, -120.50147), (47.50012, -120.50147), (39.81806, -97.05086), (47.50012, -120.50147), (47.50012, -120.50147)]",0.11123290160297473
239,British Columbia,British Columbia,54,-125,https://en.wikipedia.org/wiki/British_Columbia,"British Columbia 54,-125",British Columbia ," 54 , -125 "," 54.5 , -124.5","British Columbia 54,-125","[(53.99983, -125.0032), (53.99983, -125.0032), (53.99983, -125.0032), (53.99983, -125.0032), (53.99983, -125.0032), (53.99983, -125.0032)]",64.51222325361421
240,Fraser Valley,Fraser Valley,49.10,-122.29,https://en.wikipedia.org/wiki/Fraser_Valley,"Fraser Valley 49.10,-122.29",Fraser Valley ," 49.10 , -122.29 "," 49.108333333333 , -122.29166666667","Fraser Valley 49.10,-122.29","[(49.58299, -121.83587)]",62.256807168645956
241,Vancouver,Vancouver,49.25,-123.1,https://en.wikipedia.org/wiki/Vancouver,"Vancouver 49.25,-123.1",Vancouver ," 49.25 , -123.1 "," 49.25 , -123.1","Vancouver 49.25,-123.1","[(49.24966, -123.11934)]",1.4042821173132283
242,Little Rock,"Little Rock, Arkansas",34.73,-92.33,"https://en.wikipedia.org/wiki/Little_Rock,_Arkansas","Little Rock, Arkansas 34.73,-92.33","Little Rock, Arkansas "," 34.73 , -92.33 "," 34.736111111111 , -92.331111111111","Little Rock, Arkansas 34.73,-92.33","[(46.50013, -63.76542)]",2721.6045566094986
243,Arkansas,Arkansas,34.8,-92.2,https://en.wikipedia.org/wiki/Arkansas,"Arkansas 34.8,-92.2",Arkansas ," 34.8 , -92.2 "," 34.8 , -92.2","Arkansas 34.8,-92.2","[(34.75037, -92.50044), (34.75037, -92.50044), (34.75037, -92.50044)]",27.99016869705464
244,American South,Southern United States,34,-90,https://en.wikipedia.org/wiki/Southern_United_States,"Southern United States 34,-90",Southern United States ," 34 , -90 "," 33.9 , -89.5","Southern United States 34,-90","[(None, None)]",
245,Spain,Spain,40,-4,https://en.wikipedia.org/wiki/Spain,"Spain 40,-4",Spain ," 40 , -4 "," 40.0 , -3.0","Spain 40,-4","[(40.0, -4.0), (40.0, -4.0), (40.0, -4.0), (40.0, -4.0), (40.0, -4.0), (40.0, -4.0), (40.0, -4.0)]",85.17992927963708
246,Alabama,Alabama,32.7,-86.7,https://en.wikipedia.org/wiki/Alabama,"Alabama 32.7,-86.7",Alabama ," 32.7 , -86.7 "," 32.7 , -86.7","Alabama 32.7,-86.7","[(32.75041, -86.75026), (32.75041, -86.75026), (32.75041, -86.75026), (32.75041, -86.75026), (32.75041, -86.75026), (32.75041, -86.75026), (32.75041, -86.75026)]",7.316068457212145
247,Georgia,Georgia (U.S. state),33,-83.5,https://en.wikipedia.org/wiki/Georgia_(U.S._state),"Georgia (U.S. state) 33,-83.5",Georgia (U.S. state) ," 33 , -83.5 "," 33.0 , -83.5","Georgia (U.S. state) 33,-83.5","[(32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018), (32.75042, -83.50018)]",27.75207408681998
248,Seoul,Seoul,37.56,126.96,https://en.wikipedia.org/wiki/Seoul,"Seoul 37.56,126.96",Seoul ," 37.56 , 126.96 "," 37.566 , 126.9784","Seoul 37.56,126.96",[],
249,California,California,37,-120,https://en.wikipedia.org/wiki/California,"California 37,-120",California ," 37 , -120 "," 37.0 , -120.0","California 37,-120","[(37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (43.26174, -74.87404), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (33.91899, -84.74577), (37.25022, -119.75126), (44.545, -76.27611), (41.79644, -84.88329), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (44.545, -76.27611), (44.545, -76.27611), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126), (37.25022, -119.75126)]",35.50289617899218
250,Winnipeg,Winnipeg,49.89,-97.13,https://en.wikipedia.org/wiki/Winnipeg,"Winnipeg 49.89,-97.13",Winnipeg ," 49.89 , -97.13 "," 49.883333 , -97.15","Winnipeg 49.89,-97.13","[(49.8844, -97.14704)]",0.2430081094948857
251,East Providence,"East Providence, Rhode Island",41.81,-71.37,"https://en.wikipedia.org/wiki/East_Providence,_Rhode_Island","East Providence, Rhode Island 41.81,-71.37","East Providence, Rhode Island "," 41.81 , -71.37 "," 41.813611111111 , -71.37","East Providence, Rhode Island 41.81,-71.37","[(41.81371, -71.37005)]",0.011750830124945181
252,Barrington,"Barrington, Rhode Island",41.74,-71.31,"https://en.wikipedia.org/wiki/Barrington,_Rhode_Island","Barrington, Rhode Island 41.74,-71.31","Barrington, Rhode Island "," 41.74 , -71.31 "," 41.745277777778 , -71.318055555556","Barrington, Rhode Island 41.74,-71.31",[],
253,Rhode Island,Rhode Island,41.7,-71.5,https://en.wikipedia.org/wiki/Rhode_Island,"Rhode Island 41.7,-71.5",Rhode Island ," 41.7 , -71.5 "," 41.7 , -71.5","Rhode Island 41.7,-71.5","[(41.75038, -71.49978), (41.75038, -71.49978), (41.75038, -71.49978)]",5.602038070392983
254,Massachusetts,Massachusetts,42.3,-71.8,https://en.wikipedia.org/wiki/Massachusetts,"Massachusetts 42.3,-71.8",Massachusetts ," 42.3 , -71.8 "," 42.3 , -71.8","Massachusetts 42.3,-71.8","[(42.36565, -71.10832), (42.36565, -71.10832)]",57.32295984136303
255,Hammond,"Hammond, Indiana",41.61,-87.49,"https://en.wikipedia.org/wiki/Hammond,_Indiana","Hammond, Indiana 41.61,-87.49","Hammond, Indiana "," 41.61 , -87.49 "," 41.6111 , -87.4931","Hammond, Indiana 41.61,-87.49","[(41.58337, -87.50004)]",3.1369794237581017
256,Indiana,Indiana,40,-86,https://en.wikipedia.org/wiki/Indiana,"Indiana 40,-86",Indiana ," 40 , -86 "," 39.933333333333 , -86.216666666667","Indiana 40,-86","[(40.00032, -86.25027), (40.00032, -86.25027), (40.00032, -86.25027), (40.00032, -86.25027), (40.00032, -86.25027), (40.00032, -86.25027), (40.00032, -86.25027)]",7.9801276103378225
